0       2.27e-05	2.27E-05	2.27E-05	2.27E-05	2.27E-05	2.27E-05	2.27E-05	2.27E-05
10      9.07e-05	9.07E-05	9.07E-05	9.07E-05	9.07E-05	9.07E-05	9.07E-05	1.13E-04
20      1.81e-04	1.81E-04	1.81E-04	1.81E-04	1.81E-04	1.81E-04	1.81E-04	1.81E-04
30      2.72e-04	2.72E-04	2.72E-04	2.72E-04	2.72E-04	2.72E-04	2.72E-04	2.72E-04
40      3.85e-04	3.85E-04	3.85E-04	3.85E-04	3.63E-04	3.63E-04	3.63E-04	3.63E-04
50      5.67e-04	5.67E-04	5.67E-04	4.76E-04	4.54E-04	4.54E-04	4.54E-04	4.54E-04
60      6.35e-04	6.58E-04	6.58E-04	6.35E-04	6.12E-04	5.67E-04	5.67E-04	8.39E-04
70      6.80e-04	6.80E-04	6.80E-04	6.80E-04	6.80E-04	6.58E-04	6.58E-04	6.12E-04
80      7.03e-04	7.26E-04	7.26E-04	7.03E-04	7.03E-04	7.03E-04	6.80E-04	1.16E-03
90      7.48e-04	7.48E-04	7.48E-04	7.48E-04	7.48E-04	7.48E-04	7.48E-04	7.71E-04
